,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,polarity_api_output
8144,8665,25836,25836,36312,1356389129781673985,1356389129781673985,2021-02-02 05:19:03,2021-02-02,05:19:03,530,111424470,therealjavalily,Jane Doe,,"CHD is calling on anyone who has suffered a #vaccine side effect to do three things: file a report on the U.S. governments VAERS website, report the injury on and also here, on the CHD website.",en,[],"['http://VaxxTracker.com', 'https://childrenshealthdefense.org/defender/injured-by-vaccine-how-to-report-it/']",[],3.0,18.0,21.0,['vaccine'],[],https://twitter.com/therealjavalily/status/1356389129781673985,False,,0.0,,,,,,,,[],,,,,NEGATIVE
6070,6453,23624,23624,33530,1361768521949192198,1361768521949192198,2021-02-17 01:34:50,2021-02-17,01:34:50,530,179931221,cartoon4sale,Political Cartoon,,Steve Bell on #GavinWilliamson #FreeSpeech #FreeSpeechChampion #WarOnWoke #Universities. #lockdown #COVID19 #Covid_19 #vaccine - - political cartoon gallery in London,en,[],['http://original-political-cartoon.com'],['https://pbs.twimg.com/media/EuX5P_qWQAAzeBp.jpg'],0.0,6.0,32.0,"['gavinwilliamson', 'freespeech', 'freespeechchampion', 'waronwoke', 'universities', 'lockdown', 'covid19', 'covid_19', 'vaccine']",[],https://twitter.com/Cartoon4sale/status/1361768521949192198,False,,1.0,https://pbs.twimg.com/media/EuX5P_qWQAAzeBp.jpg,,,,,,,[],,,,,NEGATIVE
2466,2616,19787,19787,28557,1371143426599702528,1371143426599702528,2021-03-14 22:27:22,2021-03-14,22:27:22,530,45275775,iyadabumoghli,Iyad Abumoghli,,My first shot today. Wishing everybody good health and end to this hideous pandemic #COVID19 #vaccine,en,[],[],['https://pbs.twimg.com/media/EwdHrPyW8AII0QP.jpg'],7.0,0.0,16.0,"['covid19', 'vaccine']",[],https://twitter.com/iyadabumoghli/status/1371143426599702528,False,,1.0,https://pbs.twimg.com/media/EwdHrPyW8AII0QP.jpg,,,,,,,[],,,,,NEGATIVE
5157,5466,22637,22637,32276,1364394016406712324,1364394016406712324,2021-02-24 07:27:37,2021-02-24,07:27:37,530,1258471176671768576,armedpatriot45,Shawn Hawkins,,"Can I use the #Liberal mantra, ""my body, my choice,"" when it comes to a #vaccine? Or is that line exclusive to murdering babies?? #NoVaccineForMe #AbortionIsMurder #BabiesLivesMatter",en,[],[],[],2.0,18.0,46.0,"['liberal', 'vaccine', 'novaccineforme', 'abortionismurder', 'babieslivesmatter']",[],https://twitter.com/ArmedPatriot45/status/1364394016406712324,False,,0.0,,,,,,,,[],,,,,NEGATIVE
478,509,17680,17680,25756,1375851778340749313,1375851778340749313,2021-03-27 22:16:40,2021-03-27,22:16:40,530,86970530,tmprowell,"Tatiana Prowell, MD",,"Watching Brazil feels like were watching the alternate future that might have been ours from Jan on. We have to help them. My answer to what do we do with expected surplus #COVID19 #vaccine? is send it to Brazil, quickly.",en,[],[],[],7.0,18.0,79.0,"['covid19', 'vaccine']",[],https://twitter.com/tmprowell/status/1375851778340749313,False,https://twitter.com/nytimes/status/1375850119099248640,0.0,,,,,,,,[],,,,,NEGATIVE
6231,6621,23792,23792,33730,1361389133231517699,1361389133231517699,2021-02-16 00:27:17,2021-02-16,00:27:17,530,4877263391,suzannev99,Bee Goddess,,This has to stop! Reject the #mRNA #COVID #vaccine! 28-Year-old Wisconsin Healthcare Worker has Aneurysm Brain Dead Five Days After Second Experimental Pfizer mRNA COVID Injection,en,[],['https://vaccineimpact.com/2021/28-year-old-wisconsin-healthcare-worker-has-aneurysm-brain-dead-five-days-after-second-experimental-pfizer-mrna-covid-injection/'],['https://pbs.twimg.com/media/EuSgLUHXIBICG3U.jpg'],9.0,77.0,75.0,"['mrna', 'covid', 'vaccine']",[],https://twitter.com/SuzanneV99/status/1361389133231517699,False,,1.0,https://pbs.twimg.com/media/EuSgLUHXIBICG3U.jpg,,,,,,,[],,,,,NEGATIVE
12144,12901,30072,30072,41833,1347738564688281600,1347738564688281600,2021-01-09 08:24:48,2021-01-09,08:24:48,530,757300766478663680,drjacobsrad,David Jacobs,,"I do believe that the Trump brigade is retreating from Twitter. I've lost about 1.5% of my followers and hopefully 95% of the anti-vaxers. To the 98.5% sticking around, I look forward to enjoying an elevated level of discourse with you all. #COVID19 #vaccine",en,[],[],['https://pbs.twimg.com/media/ErQhFP-W8AYczgA.jpg'],53.0,13.0,153.0,"['covid19', 'vaccine']",[],https://twitter.com/DrJacobsRad/status/1347738564688281600,False,,1.0,https://pbs.twimg.com/media/ErQhFP-W8AYczgA.jpg,,,,,,,[],,,,,NEGATIVE
9608,10229,27400,27400,38260,1353294168039313409,1353294168039313409,2021-01-24 16:20:47,2021-01-24,16:20:47,530,384533439,jerryhicksunite,Jerry Hicks,,"No you haven't. Vaccinated is achieved after both doses. Boris Johnson sets out to deliberately mislead, with this lie. #vaccination #vaccine #COVID19 #Covid_19 #COVID #BorisJohnson",en,[],[],[],1.0,17.0,28.0,"['vaccination', 'vaccine', 'covid19', 'covid_19', 'covid', 'borisjohnson']",[],https://twitter.com/JerryHicksUnite/status/1353294168039313409,False,https://twitter.com/BorisJohnson/status/1353027314750263298,0.0,,,,,,,,[],,,,,NEGATIVE
13132,13955,31126,31126,43212,1345743906705715201,1345743906705715201,2021-01-03 20:18:44,2021-01-03,20:18:44,530,548632136,angelovalidiya,Dr Lidiya Angelova,,If someone is vaccinated now this person is a test object. If you know such people tell them. Spread it widely. Also none of #COVID-19 #vaccine is tested on animals. This means that people are the animals. Mengele would be happy to see how many doctors are following him even WHO.,en,[],[],[],9.0,34.0,53.0,"['covid', 'vaccine']",[],https://twitter.com/angelovalidiya/status/1345743906705715201,False,https://twitter.com/angelovalidiya/status/1344397600095539201,0.0,,,,,,,,[],,,,,NEGATIVE
13066,13884,31055,31055,43119,1345934230006726656,1345934230006726656,2021-01-04 08:55:01,2021-01-04,08:55:01,530,29097819,epochtimes,The Epoch Times,,"Thats 500,000 a day, said Dr. Moncef Slaoui, #OperationWarpSpeeds chief scientific adviser. Approximately 1.5 million Americans were injected with a #Vaccine for the #CCPVirus in the past 72 hours, officials said Sunday.",en,[],['https://www.theepochtimes.com/1-5-million-americans-received-a-covid-19-vaccine-in-past-72-hours-officials_3641822.html?utm_medium=social&utm_source=twitter&utm_campaign=digitalsub'],[],40.0,45.0,162.0,"['operationwarpspeed', 'vaccine', 'ccpvirus']",[],https://twitter.com/EpochTimes/status/1345934230006726656,False,,0.0,,,,,,,,[],,,,,NEGATIVE
6789,7212,24383,24383,34465,1359788707780448257,1359788707780448257,2021-02-11 14:27:46,2021-02-11,14:27:46,530,373451094,bancroftian,Ian Bancroft,,"#Serbia well diversified on the #vaccine front. Half a million doses of #Sinopharm arrived from #China yesterday. 88,000 of #Pfizer and 125,000-150,000 of #AstraZeneca expected in next ten days. More #SputnikV on its way from #Russia.",en,[],[],[],0.0,6.0,19.0,"['serbia', 'vaccine', 'sinopharm', 'china', 'pfizer', 'astrazeneca', 'sputnikv', 'russia']",[],https://twitter.com/bancroftian/status/1359788707780448257,False,,0.0,,,,,,,,[],,,,,NEGATIVE
6482,6884,24055,24055,34057,1360652918718926857,1360652918718926857,2021-02-13 23:41:50,2021-02-13,23:41:50,530,4849594413,westkentmasons,West Kent Freemasons,,West Kents Provincial Grand Master has his COVID-19 Vaccination at the Welling Westwood Masonic Centre. Have a listen to what the PGM had to say here: #westkentfreemasons #covid19 #vaccine #vaccinecentre #freemasons,en,[],['http://bit.ly/PGMJabWK'],['https://pbs.twimg.com/media/EuICnlRXcAYMVhn.jpg'],1.0,15.0,47.0,"['westkentfreemasons', 'covid19', 'vaccine', 'vaccinecentre', 'freemasons']",[],https://twitter.com/westkentmasons/status/1360652918718926857,False,,1.0,https://pbs.twimg.com/media/EuICnlRXcAYMVhn.jpg,,,,,,,[],,,,,NEGATIVE
3269,3461,20632,20632,29647,1368999260767875085,1368999260767875085,2021-03-09 00:27:13,2021-03-09,00:27:13,530,4301940134,drkatejmiller,Dr Kate J Miller (she/her),,Ontario specific patient decision tool for #Covid19 #Vaccine for pregnant individuals is released!! <USER> <USER> <USER> <USER> <USER> <USER> <USER>,en,"[{'screen_name': 'pcmch_on', 'name': 'pcmch', 'id': '3395539901'}, {'screen_name': 'ontariocollege', 'name': 'ocfp', 'id': '166677844'}, {'screen_name': 'dboycemd', 'name': 'dr debra e boyce', 'id': '595027899'}, {'screen_name': 'gowermd', 'name': 'sarah gower md', 'id': '3094656641'}, {'screen_name': 'dryosefb', 'name': 'jon barrett', 'id': '1553633706'}, {'screen_name': 'drmwalkermd', 'name': 'dr. mark walker', 'id': '703017499'}, {'screen_name': 'talibogler', 'name': 'tali bogler, md', 'id': '1019008388'}]",['http://www.pcmch.on.ca/COVID-19Vaccine/'],[],4.0,32.0,43.0,"['covid19', 'vaccine']",[],https://twitter.com/DrKateJMiller/status/1368999260767875085,False,,0.0,,,,,,,,[],,,,,NEGATIVE
5922,6297,23468,23468,33332,1362147355458379778,1362147355458379778,2021-02-18 02:40:11,2021-02-18,02:40:11,530,10057582,krupali,DR. KRUPALI 🇺🇸,,"When I get the chance and honor of meeting my friends 91 year old mother who got her second #covid19 #vaccine today, you take it! #takeyourshot <EMOJI:raising_hands><EMOJI:medium_skin_tone><EMOJI:syringe>",en,[],[],['https://pbs.twimg.com/media/EudRy_8VkAAS71Y.jpg'],1.0,1.0,37.0,"['covid19', 'vaccine', 'takeyourshot']",[],https://twitter.com/krupali/status/1362147355458379778,False,,1.0,https://pbs.twimg.com/media/EudRy_8VkAAS71Y.jpg,,,,,,,[],,,,,NEGATIVE
8621,9189,26360,26360,37004,1355229898240045062,1355229898240045062,2021-01-30 00:32:41,2021-01-30,00:32:41,530,157430398,turnipdodger,Mark Tucker,,"Its almost like squaring up to the big boys next door, on whom your economy and food supply relies, was a really bad idea. #UK #EU #NI #Vaccine #Covid19UK #BrexitCarnage",en,[],[],[],1.0,1.0,24.0,"['uk', 'eu', 'ni', 'vaccine', 'covid19uk', 'brexitcarnage']",[],https://twitter.com/turnipdodger/status/1355229898240045062,False,,0.0,,,,,,,,[],,,,,NEGATIVE
3029,3212,20383,20383,29323,1369697112728895491,1369697112728895491,2021-03-10 22:40:14,2021-03-10,22:40:14,530,87775422,chinadaily,China Daily,,"#MediaFocus The Chinese government has been providing #vaccine assistance to over 60 countries in total, said a spokeperson for the NPC at a press conference on March 4, Sputnik reported. #COVID_19",en,[],[],['https://pbs.twimg.com/media/EwIh8RcUYAAH9bU.png'],6.0,6.0,19.0,"['mediafocus', 'vaccine', 'covid_19']",[],https://twitter.com/ChinaDaily/status/1369697112728895491,False,,1.0,https://pbs.twimg.com/media/EwIh8RcUYAAH9bU.png,,,,,,,[],,,,,NEGATIVE
12252,13015,30186,30186,41963,1347548987780460545,1347548987780460545,2021-01-08 19:51:29,2021-01-08,19:51:29,530,26461339,northumbriapol,Northumbria Police,,Please read this important information regarding the #Coronavirus #Vaccine <EMOJI:police_car_light> Keep yourself and relatives safe and stay vigilant from scammers. If you think you may have been affected contact <USER> <EMOJI:exclamation_mark>,en,"[{'screen_name': 'actionfrauduk', 'name': 'action fraud', 'id': '174263807'}]",[],['https://pbs.twimg.com/media/ErN0qXpXYAIAHD1.png'],1.0,31.0,31.0,"['coronavirus', 'vaccine']",[],https://twitter.com/northumbriapol/status/1347548987780460545,False,,1.0,https://pbs.twimg.com/media/ErN0qXpXYAIAHD1.png,,,,,,,[],,,,,NEGATIVE
3320,3513,20684,20684,29711,1368909636787703816,1368909636787703816,2021-03-08 18:31:05,2021-03-08,18:31:05,530,3009415727,kenforflorida,Ken Russell,,"when its getting so complicated because there are so many categories and differences between jurisdictions, its time to just open up the #vaccine to everyone who wants it. <USER> #Coronavirus #COVID19",en,"[{'screen_name': 'heraldoped', 'name': 'miami herald opinion', 'id': '1599535267'}]",['https://www.miamiherald.com/news/coronavirus/article249723993.html?adobe_mc=TS%3D1615208075%7CMCMID%3D05253440788521125237351561857338506893%7CMCORGID%3D3B6E35F15A82BBB00A495D91%40AdobeOrg'],[],0.0,3.0,16.0,"['vaccine', 'coronavirus', 'covid19']",[],https://twitter.com/kenforflorida/status/1368909636787703816,False,,0.0,,,,,,,,[],,,,,NEGATIVE
8491,9051,26222,26222,36831,1355518832849416195,1355518832849416195,2021-01-30 19:40:48,2021-01-30,19:40:48,530,1011237224,nagina_j,Nagina Javaid,,Great short video in Urdu #diabetes #vaccine <USER> <USER> <USER> <USER> pls share through your networks Lots more in languages in <USER> helpful thread,en,"[{'screen_name': 'bme_dementia', 'name': 'mohammed a rauf mbe', 'id': '133862783'}, {'screen_name': 'naliarobi', 'name': 'nurjahan ali arobi', 'id': '806822658180612096'}, {'screen_name': 'shubly', 'name': 'sasha', 'id': '14375624'}, {'screen_name': 'andrewprudames', 'name': 'andrew prudames', 'id': '143761084'}, {'screen_name': 'parthaskar', 'name': 'partha kar 🇮🇳 🇬🇧🎥🏏', 'id': '95022046'}]",[],[],1.0,4.0,8.0,"['diabetes', 'vaccine']",[],https://twitter.com/nagina_j/status/1355518832849416195,False,https://twitter.com/parthaskar/status/1355130839345098755,0.0,,,,,,,,[],,,,,NEGATIVE
5483,5823,22994,22994,32720,1363391701193138178,1363391701193138178,2021-02-21 13:04:46,2021-02-21,13:04:46,530,1241591213578317825,leo_puglisi6,Leonardo Puglisi,,TONIGHT on <USER> <EMOJI:newspaper> <USER> joins me to discuss the #FacebookNewsBan; <EMOJI:syringe> Australia's #Vaccine rollout begins; Fallout from #BrittanyHiggins' rape allegations; SPECIAL REPORT about the #MyanmarCoup; 7:45pm (AEDT) WATCH HERE:,en,"[{'screen_name': '6newsau', 'name': '6 news australia', 'id': '1255629140562046976'}, {'screen_name': 'travlic', 'name': 'tom ravlic fipa ffa', 'id': '26464396'}]",['https://www.youtube.com/watch?v=YoWjSvmEMfc'],[],1.0,8.0,15.0,"['facebooknewsban', 'vaccine', 'brittanyhiggins', 'myanmarcoup']",[],https://twitter.com/Leo_Puglisi6/status/1363391701193138178,False,,0.0,,,,,,,,[],,,,,NEGATIVE
7458,7927,25098,25098,35395,1358009201960906753,1358009201960906753,2021-02-06 16:36:38,2021-02-06,16:36:38,530,19500209,rachel_doyle72,Rachel Doyle 🐝,,Im on my way to Watford Football Club.......for my jab! Nice one <USER> for opening your doors <EMOJI:OK_hand><EMOJI:medium-light_skin_tone> #WatfordFC #Vaccine <EMOJI:syringe>,en,"[{'screen_name': 'watfordfc', 'name': 'watford football club', 'id': '226590250'}]",[],[],3.0,0.0,11.0,"['watfordfc', 'vaccine']",[],https://twitter.com/Rachel_Doyle72/status/1358009201960906753,False,,0.0,,,,,,,,[],,,,,NEGATIVE
5851,6221,23392,23392,33241,1362382278584918016,1362382278584918016,2021-02-18 18:13:41,2021-02-18,18:13:41,530,411395957,lo_zanzi,Ivan Zanoni,,My #grandmother (that basically raised me cause my parents worked until late to assure my brother and I could go to college) turned 96 and just got her #firstshot #COVID19 #vaccine in . Now I realize how stressed Ive been. And why I love #science so much. #firstgen #firstPhD,en,[],[],[],3.0,3.0,122.0,"['grandmother', 'firstshot', 'covid19', 'vaccine', 'science', 'firstgen', 'firstphd']",[],https://twitter.com/Lo_Zanzi/status/1362382278584918016,False,,0.0,,,,,,,,[],,,,,NEGATIVE
7110,7561,24732,24732,34928,1358891343049879554,1358891343049879554,2021-02-09 03:01:57,2021-02-09,03:01:57,530,434776111,modgibraltar,MOD Gibraltar,,"Another successful delivery of the #Pfizer #vaccine to <USER> Well done to all involved, a team effort from start to finish. <USER> <USER> <USER> <USER> <USER> #GDP #BFGIb",en,"[{'screen_name': 'ghaweb', 'name': 'gha', 'id': '620903515'}, {'screen_name': 'fcdogovuk', 'name': 'foreign, commonwealth & development office', 'id': '14353202'}, {'screen_name': 'royalairforce', 'name': 'royal air force', 'id': '92943533'}, {'screen_name': 'rafbrizenorton', 'name': 'raf brize norton', 'id': '589843466'}, {'screen_name': 'raf_gib', 'name': 'raf gibraltar', 'id': '416926967'}, {'screen_name': 'royalgibregt', 'name': 'royal gibraltar regiment', 'id': '596376167'}]",['https://www.gbc.gi/news/over-14000-vaccine-doses-arrive-gibraltar'],[],1.0,11.0,54.0,"['pfizer', 'vaccine', 'gdp', 'bfgib']",[],https://twitter.com/MODGibraltar/status/1358891343049879554,False,,0.0,,,,,,,,[],,,,,NEGATIVE
752,803,17974,17974,26152,1375115950371057664,1375115950371057664,2021-03-25 21:32:45,2021-03-25,21:32:45,530,220863206,tennesseine,Tennesseine,,"The requisite #vaccineselfie! Just got my first dose of the vaccine!! <EMOJI:syringe><EMOJI:party_popper><EMOJI:confetti_ball> Your turn! Lets get this done, yall!! #sss #vaccine #covid_19 #covidvaccine",en,[],[],['https://pbs.twimg.com/media/ExVkkSgXEAY-97L.jpg'],19.0,8.0,151.0,"['vaccineselfie', 'ᴠᴀᴄᴄɪɴᴇssᴀᴠᴇʟɪᴠᴇs', 'vaccine', 'covid_19', 'covidvaccine']",[],https://twitter.com/Tennesseine/status/1375115950371057664,False,,1.0,https://pbs.twimg.com/media/ExVkkSgXEAY-97L.jpg,,,,,,,[],,,,,NEGATIVE
10524,11189,28360,28360,39482,1351218916991893505,1351218916991893505,2021-01-18 22:54:28,2021-01-18,22:54:28,530,729700698,adelalhazzani,عادل الهزاني,,# : #_19 U.S. Ambassador to the Kingdom of Saudi Arabia Abizaid comments today #COVID19 #vaccine #SaudiArabia #_,und,[],[],[],1.0,19.0,25.0,"['السعودية', 'كوفيد_19', 'covid19', 'vaccine', 'saudiarabia', 'وزارة_الصحة']",[],https://twitter.com/AdelALHAZZANI/status/1351218916991893505,False,,1.0,https://pbs.twimg.com/ext_tw_video_thumb/1351218864303071234/pu/img/UdYHEMIoCxpLNppH.jpg,,,,,,,[],,,,,NEGATIVE
2136,2269,19440,19440,28120,1371857270573838337,1371857270573838337,2021-03-16 21:43:55,2021-03-16,21:43:55,530,498868135,gobannimo,Ayan Mahamoud MBE,,"Very grateful for #UKaid amongst others for continuous support to #Somaliland, especially on this critical time that we need to fight #coronavirus and get to normality. #vaccine #vaccinate <USER> <USER>",en,"[{'screen_name': 'nimkoali', 'name': 'nimco ali (obe) 🔻', 'id': '255765895'}, {'screen_name': 'stuartbrownfcdo', 'name': 'stuart brown 🇬🇧', 'id': '1144908358505439232'}]",[],[],1.0,4.0,17.0,"['ukaid', 'somaliland', 'coronavirus', 'vaccine', 'vaccinate']",[],https://twitter.com/Gobannimo/status/1371857270573838337,False,https://twitter.com/StuartBrownFCDO/status/1371813371897602049,0.0,,,,,,,,[],,,,,NEGATIVE
9350,9960,27131,27131,37938,1353875661845311488,1353875661845311488,2021-01-26 06:51:26,2021-01-26,06:51:26,530,132066583,mikaylanewsnow,Mikayla Ortega,,"Have questions about how to sign up for the #COVID #vaccine? Many people do. CDPHE has created a vaccine hotline open M-F from 9a-5p where you can get your questions answered. On Feb, 1, they will operate 24/7. The number to call is 303-389-1687 or toll-free at 1-877-268-2926.",en,[],[],[],1.0,12.0,21.0,"['covid', 'vaccine']",[],https://twitter.com/MikaylaNewsNow/status/1353875661845311488,False,,0.0,,,,,,,,[],,,,,NEGATIVE
9884,10520,27691,27691,38615,1352620163804364802,1352620163804364802,2021-01-22 19:42:32,2021-01-22,19:42:32,530,304334853,warrenyorkhypno,Warren York,,This is for anyone who has a fear of needles that would prevent them from getting the vaccine. Im offering a free 1-1 hypnotherapy session via Zoom to help. Message me here or email info<USER> #needlephobia #needles #vaccine #hypnotherapy,en,[],[],['https://pbs.twimg.com/media/EsV43fPXEAAAu0o.jpg'],2.0,9.0,19.0,"['needlephobia', 'needles', 'vaccine', 'hypnotherapy']",[],https://twitter.com/warrenyorkhypno/status/1352620163804364802,False,,1.0,https://pbs.twimg.com/media/EsV43fPXEAAAu0o.jpg,,,,,,,[],,,,,NEGATIVE
11623,12355,29526,29526,41087,1349033098164498433,1349033098164498433,2021-01-12 22:08:49,2021-01-12,22:08:49,530,77845268,sheetalsheth,Sheetal Sheth,,Israel is on track to vaccinate half of its population by the end of March. This is leadership. And also how you get everyone back to work. #COVID19 #vaccine,en,[],[],[],5.0,5.0,65.0,"['covid19', 'vaccine']",[],https://twitter.com/sheetalsheth/status/1349033098164498433,False,,0.0,,,,,,,,[],,,,,NEGATIVE
